data_amount,para_amount,log_data_amount,log_para_amount,log_bs,width,data,bs,test_acc,train_acc,generalization_gap,test_loss,train_loss,CKA,hessian_e,hessian_t,mode_connectivity,mode_connectivity_peak,test_error,train_error,rfi_width,rfi_data,rfi_inc_temp,rfi_dec_temp,bs_failure,width_vs_batch,data_vs_batch
50000,11420,10.819778284410283,9.343121483210002,2.772588722239781,2,10,16,53.19,54.236000000000004,1.0460000000000065,1.4061466849422455,1.3749132334365846,0.28174203634262085,4.363176043137773,5.4342528967701895,-10.686,-46.57,46.81,45.763999999999996,25.414,0.0,0.0,11.188000000000002,large,width,batch
45000,11420,10.714417768752456,9.343121483210002,2.772588722239781,2,9,16,58.386,59.480444444444444,1.0944444444444414,1.201236587867737,1.1639130513042875,0.38678178191185,4.157203863112411,5.33524400551432,7.315555555555562,-34.91555555555556,41.614,40.519555555555556,21.362000000000002,0.0,0.0,6.9780000000000015,large,width,batch
40000,11420,10.596634733096073,9.343121483210002,2.772588722239781,2,8,16,55.63399999999999,57.0855,1.45150000000001,1.290140842227936,1.2449115420532226,0.39323917031288147,4.163631212098721,5.287789519230711,8.731250000000003,-40.0525,44.36600000000001,42.9145,21.80400000000001,2.7520000000000095,0.0,7.832000000000015,large,width,batch
35000,11420,10.46310334047155,9.343121483210002,2.772588722239781,2,7,16,56.076,57.25542857142857,1.1794285714285664,1.2928142103385925,1.247922050715855,0.3402264416217804,6.291767679079273,6.693512250462235,9.545714285714283,-33.537142857142854,43.924,42.74457142857143,21.012000000000008,2.3100000000000023,0.0,8.011999999999993,large,width,batch
30000,11420,10.308952660644293,9.343121483210002,2.772588722239781,2,6,16,55.488,57.1,1.6120000000000019,1.2779546427154542,1.2265337677383423,0.3314637541770935,4.117173656380613,5.186262057718053,10.575000000000003,-38.33,44.512,42.9,21.10000000000001,2.8980000000000032,0.0,7.581999999999994,large,width,batch
25000,11420,10.126631103850338,9.343121483210002,2.772588722239781,2,5,16,58.552,61.0056,2.4536000000000016,1.1772038224792483,1.1094137393035888,0.4250219762325287,3.892657561606078,5.208361865169321,7.682000000000002,-39.544,41.448,38.9944,16.18400000000002,0.0,0.0,2.0120000000000005,large,width,batch
20000,11420,9.903487552536127,9.343121483210002,2.772588722239781,2,4,16,58.834,61.635000000000005,2.801000000000002,1.1937078235054017,1.1119033951187134,0.39010125398635864,4.205096554093834,5.303269704396465,8.227500000000006,-39.7,41.166,38.364999999999995,13.590000000000003,0.0,0.0,1.1699999999999946,large,width,batch
15000,11420,9.615805480084347,9.343121483210002,2.772588722239781,2,3,16,56.58200000000001,60.65866666666667,4.076666666666661,1.2637008093833924,1.1344901018587747,0.3935159742832184,3.9006696143301145,5.241728967474935,6.766666666666659,-38.72,43.41799999999999,39.34133333333333,13.683999999999983,2.2519999999999953,0.0,1.8839999999999861,large,width,data
10000,11420,9.210340371976184,9.343121483210002,2.772588722239781,2,2,16,55.592000000000006,63.40599999999999,7.813999999999986,1.2803318738937377,1.0419289662361144,0.39263278245925903,3.8168310528876326,5.17292604847503,10.105000000000011,-40.17,44.407999999999994,36.59400000000001,9.851999999999983,3.2419999999999973,0.0,0.0,optimal,width,data
5000,11420,8.517193191416238,9.343121483210002,2.772588722239781,2,1,16,45.464,65.116,19.652,1.7797431146240235,0.9942345644950865,0.22846095263957977,3.812530140949069,5.355390597839322,-22.58,-49.26,54.536,34.884,10.315999999999995,13.370000000000005,0.0,0.0,optimal,width,data
50000,11420,10.819778284410283,9.343121483210002,3.1780538303479458,2,10,24,56.842,58.2208,1.3787999999999982,1.283452664222717,1.2374120967025757,0.3550819158554077,4.5387619492712075,5.620714374876189,-9.896999999999998,-43.994,43.158,41.7792,22.866,0.0,0.0,7.536000000000001,large,width,batch
45000,11420,10.714417768752456,9.343121483210002,3.1780538303479458,2,9,24,59.092,60.475111111111104,1.3831111111111056,1.2074267774772642,1.166552583164639,0.3894304633140564,4.484655376014378,5.569801998406492,7.445555555555565,-33.031111111111116,40.908,39.524888888888896,21.629999999999995,0.0,0.0,6.272000000000006,large,width,batch
40000,11420,10.596634733096073,9.343121483210002,3.1780538303479458,2,8,24,56.815999999999995,58.273,1.4570000000000078,1.2780506954574586,1.2230935942840575,0.340156227350235,4.57815241155606,5.601911398588649,8.446250000000006,-37.63,43.184000000000005,41.727,22.606,2.2760000000000034,0.0,6.650000000000013,large,width,batch
35000,11420,10.46310334047155,9.343121483210002,3.1780538303479458,2,7,24,59.541999999999994,61.48571428571429,1.943714285714293,1.168457596282959,1.10115824918202,0.403327077627182,4.541829051538018,5.63923934864293,6.9757142857142895,-35.537142857142854,40.458000000000006,38.51428571428571,19.389999999999993,0.0,0.0,4.545999999999999,large,width,batch
30000,11420,10.308952660644293,9.343121483210002,3.1780538303479458,2,6,24,57.964,60.489333333333335,2.525333333333336,1.2248157277297973,1.1406715213330587,0.3126685321331024,4.484969629154807,5.682658927083599,7.654999999999994,-40.77333333333333,42.036,39.510666666666665,19.21799999999999,1.5779999999999959,0.0,5.1059999999999945,large,width,batch
25000,11420,10.126631103850338,9.343121483210002,3.1780538303479458,2,5,24,56.306,59.355999999999995,3.049999999999997,1.2801966669082643,1.1820423591384888,0.3841221332550049,4.3607238235595345,5.5897562610645775,7.624000000000002,-34.604,43.694,40.644000000000005,19.644000000000005,3.235999999999997,2.246000000000002,4.258000000000003,large,width,batch
20000,11420,9.903487552536127,9.343121483210002,3.1780538303479458,2,4,24,60.004,63.862,3.858000000000004,1.1481053593635562,1.0281592992782593,0.418783038854599,4.344077506512447,5.472761626969954,-8.190000000000005,-40.765,39.996,36.138,12.922000000000004,0.0,0.0,0.0,optimal,width,optimal
