data_amount,para_amount,log_data_amount,log_para_amount,log_bs,width,data,bs,test_acc,train_acc,generalization_gap,test_loss,train_loss,CKA,hessian_e,hessian_t,mode_connectivity,mode_connectivity_peak,test_error,train_error,rfi_width,rfi_data,rfi_inc_temp,rfi_dec_temp,bs_failure,width_vs_batch,data_vs_batch
50000,11420,10.819778284410283,9.343121483210002,2.772588722239781,2,10,16,54.912,51.334799999999994,-3.577200000000005,1.3114418883132934,1.486304785385132,0.42115339636802673,3.7059467587886683,4.932229476394692,5.762999999999998,-46.69,45.088,48.665200000000006,20.41400000000001,0.0,0.0,7.121999999999993,large,width,batch
45000,11420,10.714417768752456,9.343121483210002,2.772588722239781,2,9,16,54.438,50.88622222222222,-3.5517777777777795,1.3316025686645507,1.5102234070163303,0.35330623388290405,4.124347844560706,5.089719574694022,7.9922222222222175,-39.708888888888886,45.562,49.11377777777778,19.83,0.47399999999999665,0.0,7.975999999999999,large,width,batch
40000,11420,10.596634733096073,9.343121483210002,2.772588722239781,2,8,16,53.996,51.024,-2.9720000000000013,1.3440162762451173,1.514323257789612,0.3692849278450012,3.8643567089944337,5.018365012328486,7.313750000000006,-41.1,46.004,48.976,21.222,0.9159999999999968,0.0,6.740000000000002,large,width,batch
35000,11420,10.46310334047155,9.343121483210002,2.772588722239781,2,7,16,51.482000000000006,48.597142857142856,-2.8848571428571503,1.4212398886871338,1.5739946574946813,0.3363036513328552,3.874081128146252,5.066623218703061,7.5628571428571405,-42.36571428571428,48.517999999999994,51.402857142857144,22.16599999999999,3.4299999999999926,0.0,8.939999999999998,large,width,batch
30000,11420,10.308952660644293,9.343121483210002,2.772588722239781,2,6,16,53.99400000000001,51.19133333333333,-2.802666666666674,1.3457298233795165,1.4999881190109252,0.4003867506980896,3.891478131299381,5.017217151441582,7.0333333333333385,-40.06,46.00599999999999,48.80866666666667,17.883999999999993,0.9179999999999922,0.0,6.267999999999994,large,width,batch
25000,11420,10.126631103850338,9.343121483210002,2.772588722239781,2,5,16,55.674,53.1416,-2.5324000000000026,1.2866265378952026,1.4513762027130128,0.397109717130661,4.0434082731495335,5.154883922347848,9.367999999999995,-45.708,44.326,46.8584,14.853999999999992,0.0,0.0,4.588000000000001,large,width,batch
20000,11420,9.903487552536127,9.343121483210002,2.772588722239781,2,4,16,51.2,49.692,-1.5080000000000027,1.4138686671447753,1.5335183857154846,0.26085326075553894,4.177970437590326,5.163055222467838,9.642500000000005,-43.635,48.8,50.308,16.537999999999997,4.473999999999997,0.0,6.798000000000002,large,width,batch
15000,11420,9.615805480084347,9.343121483210002,2.772588722239781,2,3,16,51.818000000000005,51.50266666666666,-0.3153333333333421,1.3781511157226563,1.4644222612762452,0.3521304428577423,3.852370785317309,5.069696219273902,8.07,-46.96666666666667,48.181999999999995,48.49733333333334,11.971999999999994,3.8559999999999945,0.0,3.2579999999999956,large,width,data
10000,11420,9.210340371976184,9.343121483210002,2.772588722239781,2,2,16,51.023999999999994,55.366,4.342000000000006,1.3958761961364743,1.3405261632156373,0.3368568420410156,3.6249152410930345,5.006257996121134,-8.515,-49.56,48.976000000000006,44.634,4.560000000000009,4.650000000000006,0.0,1.0340000000000131,large,width,data
5000,11420,8.517193191416238,9.343121483210002,2.772588722239781,2,1,16,41.264,61.068,19.803999999999995,1.8203516453170778,1.136371110420227,0.19062741100788116,3.419061386802969,5.053482205357152,-29.839999999999996,-62.58,58.736,38.932,6.149999999999999,14.409999999999997,0.0,0.0,optimal,width,data
